,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1665.0,382.0,1283.0,22.942942942942942,77.05705705705705,1665.0,382.0,1283.0,0.23277495780192192,53.77200335289187,53.53922839508995,0.2977396726422447
2,2.0,1665.0,1567.0,98.0,94.11411411411412,5.885885885885884,3330.0,1949.0,1381.0,1.1876397716124236,57.87929589270746,56.691656121095036,1.4112961622013034
3,3.0,1665.0,1637.0,28.0,98.31831831831832,1.681681681681681,4995.0,3586.0,1409.0,2.185159682402335,59.052808046940484,56.86764836453815,2.5450674237047552
4,4.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,6660.0,5236.0,1424.0,3.1906012540598514,59.68147527242247,56.49087401836262,3.6769662921348316
5,5.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,8325.0,6888.0,1437.0,4.197261542773922,60.226320201173515,56.02905865839959,4.793319415448852
6,6.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,9990.0,8540.0,1450.0,5.2039218314879925,60.77116512992456,55.567243298436566,5.889655172413793
7,7.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,11655.0,10198.0,1457.0,6.214238271371727,61.064543168482814,54.85030489711109,6.9993136582017845
8,8.0,1664.0,1649.0,15.0,99.0985576923077,0.9014423076923066,13319.0,11847.0,1472.0,7.219070484500966,61.6932103939648,54.47413990946383,8.048233695652174
9,9.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,14984.0,13499.0,1485.0,8.225730773215037,62.238055322715844,54.0123245495008,9.09023569023569
10,10.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,16649.0,15159.0,1490.0,9.237265930155326,62.44761106454317,53.21034513438784,10.173825503355705
11,11.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,18314.0,16811.0,1503.0,10.243926218869396,62.992455993294215,52.74852977442482,11.184963406520293
